Application Ref,Decision,Score,Risk Level,Approved Amount,Approved Term,Monthly Repayment,Total Repayable,Monthly Income,Monthly Expenses,Monthly Disposable,Post-Loan Disposable,Months Observed,Overdraft Days per Month,Income Stability Score,Risk Flags,Decline Reasons,Affordability Score,Income Quality Score,Account Conduct Score,Risk Indicators Score
Record_732243,APPROVE,80.3,Low,350,6,116.67,700,5059.04,2750.38,2308.66,2191.99,13,16.69,79.7,Active HCSTC (90d): 3 lenders; Overdraft: 217 days,,30,27.8,15.5,7
Record_732251,REFER,76.7,Low,0,0,0,0,6742.39,5565.18,1177.2,1060.54,13,15.38,89.4,Active HCSTC (90d): 9 lenders; Overdraft: 200 days,,28,30.2,15.5,3
Record_732262,APPROVE,81.8,Low,350,5,140,700,3055.93,148.84,2907.09,2767.09,13,3.08,75.2,Active HCSTC (90d): 1 lenders; Overdraft: 40 days,,30,27.3,17.5,7
Record_732307,REFER,53.8,High,0,0,0,0,1653.16,2029.55,-376.39,-493.06,13,19.38,82.5,Active HCSTC (90d): 6 lenders; Overdraft: 252 days; High DTI: 65.0%,,2,29.3,15.5,7
Record_732573,REFER,75.146,Low,0,0,0,0,3516.88,3380.98,135.9,19.23,13,1.31,91.9,Active HCSTC (90d): 2 lenders; Overdraft: 17 days; High DTI: 51.5%,,12.846,31.8,19.5,11
Record_732593,REFER,62.3,Low,0,0,0,0,2812.86,2334.49,478.37,361.7,13,14.54,35,Active HCSTC (90d): 3 lenders; Overdraft: 189 days,,28,11.8,15.5,7
Record_732757,REFER,91.3,Low,0,0,0,0,6425.22,4537.9,1887.32,1770.65,13,0.08,84.2,,,30,31.8,19.5,10
Record_732770,REFER,86.7,Low,0,0,0,0,2386.44,1964.53,421.91,305.24,13,1.62,82.1,Active HCSTC (90d): 6 lenders; Overdraft: 21 days,,30,30.2,19.5,7
Record_732771,APPROVE,83.8,Low,350,6,116.67,700,2633.57,834.36,1799.21,1682.54,13,1.23,89.9,Active HCSTC (90d): 2 lenders; Overdraft: 16 days,,30,29.3,19.5,5
Record_732815,REFER,72.3,Low,0,0,0,0,7237.07,4177.74,3059.33,2942.66,2,7.5,50,Active HCSTC (90d): 4 lenders; Overdraft: 15 days,,30,17.8,19.5,5
Record_733108,REFER,84.3,Low,0,0,0,0,10416.74,6039.38,4377.35,4260.69,13,19.62,80.9,Active HCSTC (90d): 8 lenders; Overdraft: 255 days,,30,31.8,15.5,7
Record_733203,REFER,57.8,High,0,0,0,0,6795.71,6493.18,302.53,185.86,13,24.77,76.4,Active HCSTC (90d): 13 lenders; Failed payments (45d): 1; Overdraft: 322 days; High DTI: 63.1%,,20,25.3,5.5,7
Record_733324,DECLINE,39.3,Very High,0,0,0,0,4417.1,5238.35,-821.25,-937.91,13,6.85,42.6,Active HCSTC (90d): 2 lenders; Overdraft: 89 days; High DTI: 54.4%,,5,11.8,15.5,7
Record_733465,REFER,84.3,Low,0,0,0,0,5125.62,3944.09,1181.53,1064.87,13,16.77,87,Active HCSTC (90d): 5 lenders; Overdraft: 218 days,,30,31.8,15.5,7
Record_733567,APPROVE,66.3,Low,350,6,116.67,700,7313.89,5245.03,2068.86,1952.19,13,19.38,53.3,Active HCSTC (90d): 3 lenders; Overdraft: 252 days,,30,17.8,15.5,3
Record_733756,REFER,75.4,Low,0,0,0,0,9855.85,1246.62,8609.24,8492.57,13,17.46,79.4,Active HCSTC (90d): 4 lenders; Overdraft: 227 days,,30,26.9,15.5,3
Record_733792,REFER,88.3,Low,0,0,0,0,2267.69,1456.8,810.88,694.22,12,0.92,93.6,Active HCSTC (90d): 3 lenders; Overdraft: 11 days,,30,31.8,19.5,7
Record_733916,REFER,56.3,High,0,0,0,0,9535.29,9556.59,-21.3,-137.97,13,9.38,67.3,Active HCSTC (90d): 7 lenders; Overdraft: 122 days,,12,23.8,15.5,5
Record_734108,REFER,73.9,Low,0,0,0,0,5466.86,1541.29,3925.57,3808.91,2,9,50,Active HCSTC (90d): 4 lenders; Overdraft: 18 days,,30,19.4,19.5,5
Record_734118,REFER,68.8,Low,0,0,0,0,306,215.56,90.44,-26.23,2,0,79.7,,,14,23.3,21.5,10
Record_734254,REFER,71.3,Low,0,0,0,0,4819.26,4746.38,72.88,-43.78,8,0.12,87.5,Gambling: 0.1% of income,,14,31.8,19.5,6
Record_734446,REFER,76.8,Low,0,0,0,0,4638.38,2553.74,2084.64,1967.97,2,0,50,Active HCSTC (90d): 3 lenders,,30,17.8,21.5,7.5
Record_734516,DECLINE,0,Very High,0,0,0,0,676.25,297.38,378.87,262.21,8,2.25,23.3,,Behavioural gate: extremely low income stability score (23.3 < 25),,,,
Record_734527,REFER,72.7,Low,0,0,0,0,6301.49,5654.27,647.22,530.55,13,23.85,83.1,Active HCSTC (90d): 14 lenders; Failed payments (45d): 1; Overdraft: 310 days,,30,30.2,5.5,7
Record_734754,REFER,84.3,Low,0,0,0,0,3000.66,2198.83,801.83,685.17,13,18.54,91.7,Active HCSTC (90d): 12 lenders; Overdraft: 241 days,,30,31.8,15.5,7
Record_734852,REFER,78.3,Low,0,0,0,0,4822.46,3405.53,1416.92,1300.26,13,16.15,76.4,Active HCSTC (90d): 11 lenders; Overdraft: 210 days,,28,27.8,15.5,7
Record_734888,REFER,84.3,Low,0,0,0,0,4518.19,3764.91,753.29,636.62,13,1.46,92.9,Active HCSTC (90d): 8 lenders; Overdraft: 19 days,,28,31.8,19.5,5
Record_735032,REFER,87.8,Low,0,0,0,0,5628.19,3070.26,2557.92,2441.26,13,7.08,84.9,Active HCSTC (90d): 2 lenders; Overdraft: 92 days,,30,31.8,15.5,10.5
Record_735038,REFER,81.8,Low,0,0,0,0,5744.94,3660.74,2084.2,1967.54,13,4.54,80.5,Active HCSTC (90d): 1 lenders; Overdraft: 59 days,,30,29.3,17.5,5
Record_735132,REFER,88.3,Low,0,0,0,0,3985.14,3026.29,958.85,842.18,13,19.62,82.3,Active HCSTC (90d): 1 lenders; Overdraft: 255 days,,30,31.8,15.5,11
Record_735151,REFER,70.3,Low,0,0,0,0,3150.48,2974.94,175.54,58.87,13,0.46,57.9,Active HCSTC (90d): 5 lenders,,26,17.8,19.5,7
Record_735158,APPROVE,86.3,Low,350,5,140,700,5830.08,437.73,5392.35,5252.35,13,5.15,96.9,Overdraft: 67 days,,30,30.8,15.5,10
Record_735333,REFER,82.7,Low,0,0,0,0,4088.09,2339.58,1748.52,1631.85,13,16.62,87.3,Active HCSTC (90d): 4 lenders; Overdraft: 216 days,,30,30.2,15.5,7
Record_735527,APPROVE,72,Low,350,5,140,700,2214.06,521.37,1692.69,1552.69,2,8.5,50,Active HCSTC (90d): 3 lenders; Overdraft: 17 days,,30,15,19.5,7.5
Record_735594,REFER,82.7,Low,0,0,0,0,4074.43,3156.55,917.88,801.21,13,1.15,85,Active HCSTC (90d): 8 lenders; Overdraft: 15 days,,30,30.2,19.5,3
Record_735635,APPROVE,72,Low,350,5,140,700,2388.72,138.61,2250.11,2110.11,2,9,50,Active HCSTC (90d): 3 lenders; Overdraft: 18 days,,30,15,19.5,7.5
Record_735674,APPROVE,77.2,Low,350,5,140,700,4171.66,133.91,4037.75,3897.75,13,2.15,50.5,Overdraft: 28 days,,30,15.7,19.5,12
Record_735784,APPROVE,74.8,Low,350,6,116.67,700,4105.81,3113.04,992.77,876.1,13,1.77,69.3,Active HCSTC (90d): 3 lenders; Overdraft: 23 days; High DTI: 47.6%,,26,23.8,19.5,5.5
Record_735850,REFER,78.3,Low,0,0,0,0,5288.66,2379.88,2908.79,2792.12,13,24.54,81.5,Active HCSTC (90d): 3 lenders; Overdraft: 319 days,,28,31.8,15.5,3
Record_735993,REFER,82.3,Low,0,0,0,0,6463.54,3355.49,3108.05,2991.38,13,0.62,71,Active HCSTC (90d): 9 lenders,,30,27.8,19.5,5
Record_736052,REFER,78.2,Low,0,0,0,0,2661.97,2370.25,291.72,175.05,13,17.77,86.8,Active HCSTC (90d): 6 lenders; Overdraft: 231 days,,28,27.7,15.5,7
Record_736114,REFER,65.332,Low,0,0,0,0,8047.56,7923.23,124.33,7.66,13,8.85,89,Active HCSTC (90d): 5 lenders; Overdraft: 115 days; High DTI: 46.9%,,13.532,31.8,15.5,4.5
Record_736148,APPROVE,84.3,Low,350,6,116.67,700,3513.12,3332.12,181,64.33,13,0.31,75.5,Active HCSTC (90d): 1 lenders,,26,26.8,19.5,12
Record_736159,DECLINE,0,Very High,0,0,0,0,4490.31,7284.59,-2794.29,-2910.95,13,10.31,23.9,,Behavioural gate: extremely low income stability score (23.9 < 25),,,,
Record_736176,REFER,61.3,Low,0,0,0,0,1688.92,1988.78,-299.86,-416.53,13,5.31,73.1,Overdraft: 69 days,,12,26.8,15.5,7
Record_736685,REFER,60.3,Low,0,0,0,0,2753.56,3903.4,-1149.85,-1266.51,13,3.85,63.4,Active HCSTC (90d): 2 lenders; Overdraft: 50 days,,12,23.8,17.5,7
Record_736898,APPROVE,81.7,Low,350,5,140,700,3081.57,475.49,2606.08,2466.08,13,3.23,90.8,Active HCSTC (90d): 2 lenders; Overdraft: 42 days,,30,27.2,17.5,7
Record_737018,REFER,80.7,Low,0,0,0,0,4084.71,3171.12,913.59,796.93,13,0.08,76.5,Active HCSTC (90d): 3 lenders,,28,26.2,19.5,7
Record_737185,REFER,76.8,Low,0,0,0,0,4026.62,2095.8,1930.82,1814.15,13,2.08,53.6,Overdraft: 27 days,,30,15.3,19.5,12
Record_737204,REFER,61.3,Low,0,0,0,0,6787.14,4435.29,2351.84,2235.18,13,7.62,65.1,Gambling: 3.1% of income; Active HCSTC (90d): 11 lenders; Failed payments (45d): 2; Overdraft: 99 days,,30,23.8,5.5,2
Record_737336,REFER,51.8,High,0,0,0,0,352.67,2027.7,-1675.03,-1791.7,13,3.23,95,Active HCSTC (90d): 13 lenders; Overdraft: 42 days; High DTI: 147.6%,,0,29.3,17.5,5
Record_737408,DECLINE,0,Very High,0,0,0,0,3077.23,1246.89,1830.34,1713.68,4,0,7.3,,Behavioural gate: extremely low income stability score (7.3 < 25),,,,
Record_737496,REFER,80.7,Low,0,0,0,0,3771.66,1469.18,2302.48,2185.81,13,4.85,92,Active HCSTC (90d): 2 lenders; Overdraft: 63 days,,30,30.2,15.5,5
Record_737574,REFER,73.8,Low,0,0,0,0,8573.34,7232.8,1340.54,1223.87,13,10.62,64.4,Active HCSTC (90d): 23 lenders; Overdraft: 138 days,,30,21.3,15.5,7
Record_737590,REFER,76.4,Low,0,0,0,0,2767.14,2095.48,671.66,555,2,7.5,50,Active HCSTC (90d): 3 lenders; Overdraft: 15 days,,30,19.4,19.5,7.5
Record_737668,REFER,70.96600000000001,Low,0,0,0,0,3141.36,2991.36,150,33.33,13,23.46,79.8,Active HCSTC (90d): 14 lenders; Overdraft: 305 days,,20.666,27.8,15.5,7
Record_737764,REFER,64.8,Low,0,0,0,0,2264.07,2654.73,-390.67,-507.33,13,0.31,84.8,Active HCSTC (90d): 1 lenders; High DTI: 44.8%,,8,31.8,19.5,5.5
Record_737860,REFER,77.8,Low,0,0,0,0,4512.6,3561.69,950.92,834.25,13,11.23,73.5,Active HCSTC (90d): 6 lenders; Overdraft: 146 days,,30,25.3,15.5,7
Record_738053,APPROVE,82.3,Low,350,6,116.67,700,2526.79,874.01,1652.78,1536.11,13,3.62,88.7,Active HCSTC (90d): 2 lenders; Overdraft: 47 days,,30,31.8,17.5,3
Record_738064,APPROVE,70.7,Low,350,6,116.67,700,16464.41,8802.44,7661.97,7545.3,13,17.69,95.5,Active HCSTC (90d): 3 lenders; Overdraft: 230 days,,30,30.2,5.5,5
Record_738203,REFER,71.3,Low,0,0,0,0,3183.68,4485.32,-1301.63,-1418.3,13,1.15,76.1,Overdraft: 15 days,,12,27.8,19.5,12
Record_738280,REFER,70.3,Low,0,0,0,0,3783.55,3782.98,0.57,-116.1,13,19.08,87.6,Active HCSTC (90d): 1 lenders; Overdraft: 248 days,,12,31.8,15.5,11
Record_738325,APPROVE,77.8,Low,350,6,116.67,700,6353,3266.24,3086.76,2970.09,13,16.38,89.2,Active HCSTC (90d): 2 lenders; Overdraft: 213 days,,30,29.3,15.5,3
Record_738430,REFER,43,High,0,0,0,0,5.34,1709.18,-1703.84,-1820.51,2,4,50,Active HCSTC (90d): 1 lenders; High DTI: 3967.7%,,0,14.5,19.5,9
Record_738570,REFER,80.3,Low,0,0,0,0,16520.16,10624.66,5895.5,5778.84,13,0.54,75.1,Active HCSTC (90d): 19 lenders,,30,27.8,19.5,3
Record_738668,APPROVE,65.3,Low,350,5,140,700,3311.05,810.55,2500.5,2360.5,13,5.31,42.4,Active HCSTC (90d): 1 lenders; Overdraft: 69 days,,30,8.8,15.5,11
Record_738788,REFER,66.3,Low,0,0,0,0,2733.08,2738.96,-5.88,-122.54,13,17.08,89.2,Active HCSTC (90d): 4 lenders; Overdraft: 222 days,,12,31.8,15.5,7
Record_738852,REFER,64.3,Low,0,0,0,0,2131.51,2215.98,-84.47,-201.14,13,16,89,Active HCSTC (90d): 1 lenders; Overdraft: 208 days,,12,31.8,15.5,5
Record_738888,APPROVE,85.3,Low,350,6,116.67,700,2356.06,1622.88,733.18,616.51,12,0.08,65.9,,,30,23.8,19.5,12
Record_739422,REFER,72.3,Low,0,0,0,0,10163.76,7207.43,2956.33,2839.67,13,3.69,65.5,Active HCSTC (90d): 8 lenders; Overdraft: 48 days,,30,23.8,11.5,7
Record_739520,APPROVE,75.8,Low,350,5,140,700,5266.06,3329.18,1936.88,1796.88,13,12.38,76.8,Overdraft: 161 days,,30,27.3,15.5,3
Record_739542,REFER,78.3,Low,0,0,0,0,9146.61,3319.26,5827.35,5710.69,13,21.54,79.9,Active HCSTC (90d): 6 lenders; Overdraft: 280 days,,30,27.8,15.5,5
Record_739613,REFER,84.3,Low,0,0,0,0,6754.03,3728.1,3025.93,2909.27,13,0.85,70.2,Active HCSTC (90d): 4 lenders; Overdraft: 11 days,,30,27.8,19.5,7
Record_739672,REFER,67.3,Low,0,0,0,0,4177.13,4769.47,-592.34,-709.01,13,1.62,73.2,Overdraft: 21 days,,12,27.8,19.5,8
Record_739746,DECLINE,0,Very High,0,0,0,0,1612.98,1788.92,-175.94,-292.6,13,2,21,,Behavioural gate: extremely low income stability score (21.0 < 25),,,,
Record_740177,REFER,80.3,Low,0,0,0,0,4135.96,2158.57,1977.39,1860.72,9,9.44,68.6,Active HCSTC (90d): 1 lenders; Overdraft: 85 days,,30,23.8,15.5,11
Record_740317,REFER,69.8,Low,0,0,0,0,5760.8,5265.64,495.16,378.49,13,19.62,87.2,Active HCSTC (90d): 6 lenders; Failed payments (45d): 1; Overdraft: 255 days,,30,29.3,5.5,5
Record_740340,REFER,89.9,Low,0,0,0,0,5563.9,3314.44,2249.46,2132.79,13,8.69,93.3,Active HCSTC (90d): 1 lenders; Overdraft: 113 days,,30,33.4,15.5,11
Record_740456,REFER,81.2,Low,0,0,0,0,5346.49,3799.31,1547.18,1430.51,13,16.62,91.1,Gambling: 1.1% of income; Active HCSTC (90d): 1 lenders; Overdraft: 216 days,,30,30.2,15.5,5.5
Record_740549,REFER,81.3,Low,0,0,0,0,2462.5,2229.64,232.86,116.19,13,0.54,61.1,,,26,23.8,19.5,12
Record_740576,REFER,53,High,0,0,0,0,80,680.26,-600.26,-716.93,2,6,50,Active HCSTC (90d): 1 lenders; Overdraft: 12 days,,12,12.5,19.5,9
Record_740689,REFER,64.7,Low,0,0,0,0,3753.71,3247.29,506.42,389.75,13,18.69,90.5,Active HCSTC (90d): 5 lenders; Failed payments (45d): 1; Overdraft: 243 days; High DTI: 40.6%,,26,30.2,5.5,3
Record_740719,REFER,83.2,Low,0,0,0,0,2611.01,1749.11,861.9,745.23,13,11.62,95.1,Active HCSTC (90d): 3 lenders; Overdraft: 151 days,,30,30.2,15.5,7.5
Record_740807,REFER,56.3,High,0,0,0,0,2817.8,2833.85,-16.05,-132.72,13,16.69,76.3,Active HCSTC (90d): 1 lenders; Failed payments (45d): 3; Overdraft: 217 days,,12,27.8,5.5,11
Record_740818,REFER,48.7,High,0,0,0,0,3656.9,1553.08,2103.82,1987.15,13,18.62,48.6,Active HCSTC (90d): 2 lenders; Failed payments (45d): 2; Overdraft: 242 days,,30,7.7,5.5,5.5
Record_740878,REFER,83.3,Low,0,0,0,0,4825.58,4158.53,667.05,550.38,13,2.92,77.6,Active HCSTC (90d): 9 lenders; Overdraft: 38 days,,28,27.8,17.5,10
Record_740954,REFER,58.8,High,0,0,0,0,35362.95,12202.66,23160.29,23043.63,13,12.69,42.9,Active HCSTC (90d): 3 lenders; Overdraft: 165 days,,30,11.8,11.5,5.5
Record_741002,APPROVE,76.5,Low,350,5,140,700,1983,323.87,1659.13,1519.13,2,0,50,Active HCSTC (90d): 1 lenders,,30,16,21.5,9
Record_741018,REFER,56.8,High,0,0,0,0,3293.89,3628.94,-335.05,-451.71,10,0.5,56.3,Active HCSTC (90d): 3 lenders,,12,17.8,19.5,7.5
Record_741101,REFER,72.2,Low,0,0,0,0,7691.83,3989.84,3701.99,3585.32,13,5.46,67.8,Active HCSTC (90d): 6 lenders; Overdraft: 71 days,,30,19.7,15.5,7
Record_741281,REFER,63.9,Low,0,0,0,0,3822.02,4048.48,-226.46,-343.13,13,15.08,88,Active HCSTC (90d): 5 lenders; Overdraft: 196 days,,12,33.4,15.5,3
Record_741446,REFER,70.3,Low,0,0,0,0,3377.61,3276.58,101.02,-15.64,6,1.67,81,Active HCSTC (90d): 19 lenders; High DTI: 47.3%,,12,31.8,19.5,7
Record_741509,REFER,80.3,Low,0,0,0,0,10797.76,4365.67,6432.09,6315.43,13,16.23,75.9,Active HCSTC (90d): 3 lenders; Overdraft: 211 days,,30,27.8,15.5,7
Record_741684,APPROVE,71.7,Low,350,5,140,700,2667.96,868.6,1799.36,1659.36,13,17.54,81.5,Failed payments (45d): 1; Overdraft: 228 days,,30,28.2,5.5,8
Record_741708,REFER,68.3,Low,0,0,0,0,5249.86,2274.35,2975.5,2858.84,13,10.92,50.3,Active HCSTC (90d): 28 lenders; Overdraft: 142 days,,28,17.8,15.5,7
Record_741720,REFER,75.9,Low,0,0,0,0,2507.1,1458.88,1048.21,931.55,13,0.15,89.3,Active HCSTC (90d): 1 lenders; Failed payments (45d): 2,,30,30.9,9.5,5.5
Record_741837,REFER,88.3,Low,0,0,0,0,2938.64,2550.61,388.03,271.37,13,1.38,85.5,Active HCSTC (90d): 1 lenders; Overdraft: 18 days,,30,31.8,19.5,7
Record_741893,REFER,73.9,Low,0,0,0,0,2739.54,467.9,2271.64,2154.97,13,4.92,94.4,Active HCSTC (90d): 5 lenders; Failed payments (45d): 1; Overdraft: 64 days,,30,33.4,5.5,5
Record_741898,REFER,80.7,Low,0,0,0,0,5593.85,1476.82,4117.03,4000.36,3,3,71.2,Active HCSTC (90d): 7 lenders,,30,26.2,19.5,5
Record_742017,REFER,78.3,Low,0,0,0,0,11553.89,7865.15,3688.74,3572.08,13,15.08,71.4,Overdraft: 196 days,,30,27.8,15.5,5
Record_742066,REFER,70.7,Low,0,0,0,0,3998.52,3745.34,253.18,136.52,13,1.15,56.2,Active HCSTC (90d): 6 lenders; Overdraft: 15 days,,28,16.2,19.5,7
Record_742098,REFER,51,High,0,0,0,0,60,0,60,-56.67,2,8.5,50,Active HCSTC (90d): 4 lenders; Overdraft: 17 days,,14,12.5,19.5,5
Record_742366,DECLINE,0,Very High,0,0,0,0,43346.57,32574.1,10772.47,10655.8,13,9.31,10.1,,Behavioural gate: extremely low income stability score (10.1 < 25),,,,
Record_742385,REFER,73.8,Low,0,0,0,0,4183.92,2348.76,1835.16,1718.49,13,1.23,55.5,Active HCSTC (90d): 15 lenders; Overdraft: 16 days,,28,17.8,19.5,8.5
Record_742472,REFER,74.7,Low,0,0,0,0,15557.98,8719.34,6838.64,6721.97,13,6.92,64.9,Active HCSTC (90d): 2 lenders; Overdraft: 90 days,,30,22.2,15.5,7
Record_742521,REFER,79.3,Low,0,0,0,0,2429.47,1750.96,678.51,561.84,13,7.92,61.7,Overdraft: 103 days,,30,23.8,15.5,10
Record_742641,REFER,74.3,Low,0,0,0,0,3078.89,2005.14,1073.76,957.09,13,0.08,63.8,High DTI: 51.0%,,23,23.8,19.5,8
Record_742657,REFER,56.7,High,0,0,0,0,2548.46,2439.88,108.58,-8.08,13,18.15,70.8,Active HCSTC (90d): 5 lenders; Overdraft: 236 days; High DTI: 43.3%,,12,26.2,15.5,3
Record_742803,APPROVE,78.3,Low,350,6,116.67,700,3902.25,2060.74,1841.52,1724.85,13,2.62,71.5,Active HCSTC (90d): 1 lenders; Overdraft: 34 days,,30,27.8,17.5,3
Record_742869,APPROVE,78.3,Low,350,6,116.67,700,6889.68,1915.08,4974.6,4857.93,13,17,80,Active HCSTC (90d): 1 lenders; Failed payments (45d): 1; Overdraft: 221 days,,30,31.8,5.5,11
Record_743038,REFER,76.3,Low,0,0,0,0,8602.54,7300.86,1301.68,1185.01,13,0.54,93.1,Active HCSTC (90d): 4 lenders; Failed payments (45d): 3,,30,31.8,9.5,5
Record_743145,REFER,64.8,Low,0,0,0,0,1905.98,2366.51,-460.54,-577.2,13,5.85,91.6,Overdraft: 76 days,,12,29.3,15.5,8
Record_743562,REFER,42,High,0,0,0,0,0,0,0,-116.67,1,4,50,High DTI: 100.0%,,0,12.5,19.5,10
Record_743588,REFER,86.8,Low,0,0,0,0,4210.83,3557.89,652.94,536.28,13,0.69,72.8,,,30,27.8,19.5,9.5
Record_743755,REFER,70.7,Low,0,0,0,0,539.67,307.66,232.01,115.34,11,7.91,65,Overdraft: 87 days,,28,17.7,15.5,9.5
Record_743870,APPROVE,91.8,Low,350,6,116.67,700,5119.29,3393.18,1726.1,1609.43,11,0.36,91.8,Gambling: 0.5% of income; Active HCSTC (90d): 1 lenders,,30,31.8,19.5,10.5
Record_743871,APPROVE,86.4,Low,350,5,140,700,5737.38,120,5617.38,5477.38,8,1.62,76.3,Overdraft: 13 days,,30,24.9,19.5,12
Record_743875,REFER,88.3,Low,0,0,0,0,2016.83,1443.1,573.73,457.06,13,1.62,85.8,Active HCSTC (90d): 4 lenders; Overdraft: 21 days,,30,31.8,19.5,7
Record_743994,REFER,84.2,Low,0,0,0,0,2695.61,2360.99,334.63,217.96,12,0.25,71.5,Active HCSTC (90d): 1 lenders,,30,23.7,19.5,11
Record_744042,REFER,80.3,Low,0,0,0,0,2734.88,318.53,2416.35,2299.68,11,21.64,79.1,Active HCSTC (90d): 1 lenders; Overdraft: 238 days,,30,27.3,15.5,7.5
Record_744703,REFER,72.8,Low,0,0,0,0,4741.38,4290.17,451.22,334.55,13,18.08,93.5,Active HCSTC (90d): 5 lenders; Overdraft: 235 days; High DTI: 59.0%,,23,29.3,15.5,5
Record_744869,REFER,82.3,Low,0,0,0,0,3112.79,1492.87,1619.91,1503.25,13,12.23,91.5,Active HCSTC (90d): 11 lenders; Overdraft: 159 days,,30,31.8,15.5,5
Record_745039,APPROVE,66.7,Low,350,5,140,700,7234,4744.85,2489.16,2349.16,13,19.08,36.6,Active HCSTC (90d): 2 lenders; Overdraft: 248 days,,30,10.2,15.5,11
Record_745040,APPROVE,69.8,Low,350,5,140,700,5510.82,2761.55,2749.27,2609.27,12,6,58,Active HCSTC (90d): 2 lenders; Overdraft: 72 days,,30,13.3,15.5,11
Record_745074,REFER,68.3,Low,0,0,0,0,4301.11,5198.81,-897.7,-1014.37,13,1.46,98.3,Active HCSTC (90d): 18 lenders; Overdraft: 19 days,,12,31.8,19.5,5
Record_745433,REFER,63.3,Low,0,0,0,0,4351.55,3797.96,553.59,436.93,13,15.15,56.9,Active HCSTC (90d): 4 lenders; Overdraft: 197 days; High DTI: 51.6%,,23,17.8,15.5,7
Record_745435,APPROVE,80.3,Low,350,6,116.67,700,4266.97,3164.54,1102.42,985.75,13,5.08,60.3,Active HCSTC (90d): 2 lenders; Overdraft: 66 days,,30,23.8,15.5,11
Record_745443,REFER,78.2,Low,0,0,0,0,5147.31,3636.41,1510.89,1394.23,12,17.67,80.5,Active HCSTC (90d): 12 lenders; Overdraft: 212 days,,28,27.7,15.5,7
Record_745487,APPROVE,92.3,Low,350,6,116.67,700,3071.05,2446.98,624.07,507.4,11,0.45,80.1,Active HCSTC (90d): 1 lenders,,30,31.8,19.5,11
Record_745523,REFER,66.3,Low,0,0,0,0,12520.95,9154.02,3366.94,3250.27,13,21.08,68.6,Active HCSTC (90d): 1 lenders; Failed payments (45d): 1; Overdraft: 274 days,,30,23.8,5.5,7
Record_745790,REFER,73.3,Low,0,0,0,0,2462.31,800.46,1661.85,1545.19,13,6.54,89.6,Failed payments (45d): 2; Overdraft: 85 days,,30,29.8,5.5,8
Record_745863,REFER,77.8,Low,0,0,0,0,6788.75,4128.88,2659.87,2543.2,13,6.92,88.1,Active HCSTC (90d): 2 lenders; Overdraft: 90 days,,30,29.3,15.5,3
Record_745935,APPROVE,93.3,Low,350,6,116.67,700,4465.45,2188.45,2276.99,2160.32,12,0.92,96.6,Overdraft: 11 days,,30,30.8,19.5,13
Record_745987,REFER,71.8,Low,0,0,0,0,16386.84,8919.61,7467.24,7350.57,13,0.38,53.5,Active HCSTC (90d): 7 lenders,,30,15.3,19.5,7
Record_746081,APPROVE,89.3,Low,350,5,140,700,5017.78,256.99,4760.79,4620.79,12,2.17,93.5,Overdraft: 26 days,,30,29.8,19.5,10
Record_746106,REFER,84.3,Low,0,0,0,0,2583.5,575.75,2007.75,1891.08,13,2.85,87.8,Active HCSTC (90d): 4 lenders; Overdraft: 37 days,,30,31.8,17.5,5
Record_746249,REFER,79.7,Low,0,0,0,0,4713.91,3042.01,1671.89,1555.23,13,6.62,87.8,Gambling: 0.3% of income; Active HCSTC (90d): 3 lenders; Overdraft: 86 days,,30,30.2,15.5,4
Record_746260,APPROVE,80.3,Low,350,5,140,700,2916.81,571.74,2345.07,2205.07,12,6,72.3,Overdraft: 72 days,,30,26.8,15.5,8
Record_746583,REFER,78.7,Low,0,0,0,0,2986.42,2767.31,219.11,102.45,12,3,89.3,Active HCSTC (90d): 7 lenders; Overdraft: 36 days,,28,30.2,17.5,3
Record_746662,REFER,48.7,High,0,0,0,0,3578.73,3682.24,-103.51,-220.17,12,15.92,69.1,Active HCSTC (90d): 3 lenders; Overdraft: 191 days; High DTI: 44.3%,,8,22.2,15.5,3
Record_746983,REFER,75.7,Low,0,0,0,0,7277.44,3552.5,3724.93,3608.27,13,0.08,59.5,,,30,13.7,19.5,12.5
Record_747049,REFER,72,Low,0,0,0,0,854.99,4.99,850,733.33,2,0.5,50,,,30,12.5,19.5,10
Record_747228,REFER,62.3,Low,0,0,0,0,2172.71,2147.88,24.83,-91.84,12,21.08,92.3,Active HCSTC (90d): 5 lenders; Overdraft: 253 days,,10,31.8,15.5,5
Record_747275,REFER,66.3,Low,0,0,0,0,6225.6,3305.43,2920.17,2803.5,13,15.23,77.9,Active HCSTC (90d): 3 lenders; Failed payments (45d): 1; Overdraft: 198 days,,28,27.8,5.5,5
Record_747362,REFER,60.3,Low,0,0,0,0,3504.45,3593.35,-88.9,-205.56,12,4.25,75.1,Active HCSTC (90d): 6 lenders; Overdraft: 51 days,,12,27.8,17.5,3
Record_747475,REFER,81.8,Low,0,0,0,0,5035.61,3881.37,1154.24,1037.57,12,12.58,88.2,Active HCSTC (90d): 9 lenders; Overdraft: 151 days,,30,29.3,15.5,7
Record_747487,REFER,80.3,Low,0,0,0,0,10482.01,6671.44,3810.57,3693.9,12,9.75,78.1,Active HCSTC (90d): 7 lenders; Overdraft: 117 days,,30,27.8,15.5,7
Record_747501,APPROVE,76.3,Low,350,6,116.67,700,4331.36,629.43,3701.93,3585.26,12,17.83,68.4,Active HCSTC (90d): 2 lenders; Overdraft: 214 days,,30,23.8,15.5,7
